Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6095883,Design as Art,Bruno Munari,"Munari, Bruno",Patrick Creagh,0141035811,9780141035819,3,4.05,Penguin Classics,Paperback,224,2008,1966,,9/3/2021,,,read,"a couple of random takeaways:<br/>- the most important thing about design is function: a thing should be designed according to how it is used. stripping down all superfluous elements that don’t serve the function can reveal the core of a design.<br/>- visual language is always changing itself and affecting our behaviour. good use of visual language such as symbols can tell stories and evoke feelings like poetry.<br/>- art in general should strive to become more democratic.<br/>- all components of a design should live harmoniously next to one another. <br/>- a good designer should understand the intrinsic characters of important components like type, color, or composition, as well as how viewers react to them in the real world environment.<br/>- a design depends as much on its own merits as its surroundings.<br/>- studying and understanding nature and mundane objects can inspire art. <br/>- the core of creating art is play - experimenting, asking “what-ifs”, seeing things from weird vantage points, messing with forms and time and space and all things considered not to be messed with. <br/>- art should change its material and form to adapt to and reflect the times.<br/>- good art should be intuitive.<br/><br/>",,,1,0
28257707,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,,,3,3.91,Harper,Paperback,212,2016,2016,9/29/2021,9/29/2021,,,read,genuinely good advice sometimes obscured by edginess,,,1,0
143878,Total Freedom: The Essential Krishnamurti,J. Krishnamurti,"Krishnamurti, J.",,0060648805,9780060648800,0,4.37,HarperOne,Paperback,370,1996,1996,,9/19/2021,to-read,to-read (#80),to-read,,,,0,0
27220736,Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,"Knight, Phil",,1501135910,9781501135910,4,4.47,Scribner,Hardcover,400,2016,2016,9/7/2021,9/7/2021,,,read,,,,1,0
72657,Pedagogy of the Oppressed,Paulo Freire,"Freire, Paulo","Myra Bergman Ramos, Donaldo Macedo, Richard Shaull",0826412769,9780826412768,0,4.3,Bloomsbury Academic,Paperback,192,2000,1968,,9/7/2021,to-read,to-read (#79),to-read,,,,0,0
49994260,"Limitless: Upgrade Your Brain, Learn Anything Faster, and Unlock Your Exceptional Life",Jim Kwik,"Kwik, Jim",,,,3,4.1,Hay House Inc.,Kindle Edition,343,2020,2020,,7/21/2021,,,read,,,,1,0
2034402,Designing Design,Kenya Hara,"Hara, Kenya",,303778105X,9783037781050,0,4.5,Lars Muller Publishers,Hardcover,467,2007,2003,,8/31/2021,to-read,to-read (#78),to-read,,,,0,0
271495,To Engineer Is Human: The Role of Failure in Successful Design,Henry Petroski,"Petroski, Henry",,0679734163,9780679734161,0,3.69,Vintage,Paperback,251,1992,1985,,8/31/2021,to-read,to-read (#77),to-read,,,,0,0
57897389,Hạnh phúc là con đường,TS. Hà Vĩnh Thọ,"Thọ, TS. Hà Vĩnh",,,,3,4.18,,Paperback,363,2021,,,8/31/2021,,,read,"would be a very good read for educators, looking to plan exercises that cultivate mindfulness, care, and tranquility - basically a healthy mind. good read!",,,1,0
41940285,"User Friendly: How the Hidden Rules of Design Are Changing the Way We Live, Work, and Play",Cliff Kuang,"Kuang, Cliff",Robert Fabricant,,,0,4.14,MCD,Hardcover,416,2019,2019,,8/28/2021,to-read,to-read (#76),to-read,,,,0,0
30141085,Siddartha,Hermann Hesse,"Hesse, Hermann",,,,5,4.05,,Paperback,131,,1922,4/7/2020,4/6/2020,,,read,"now that i’m reading this book again in a rather strange and new chapter of my life, i’m floored by how it has guided me in all the paths i took without me even knowing. Hermann Hesse is amazing.",,,1,0
11250317,The Song of Achilles,Madeline Miller,"Miller, Madeline",,1408816032,9781408816035,4,4.38,Bloomsbury Publishing,Hardcover,352,2011,2011,,12/30/2019,,,read,,,,1,0
60044,Class: A Guide Through the American Status System,Paul Fussell,"Fussell, Paul",,0671792253,9780671792251,0,3.92,Touchstone,Paperback,208,1992,1983,,8/24/2021,to-read,to-read (#75),to-read,,,,0,0
31138556,Homo Deus: A History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,,,3,4.22,Harper,Kindle Edition,450,2017,2015,,8/24/2021,,,read,"to be honest, i am rather disappointed. the beginning of it was fine: insightful and compelling, just like Sapiens. however, it really got off track once it started talking about algorithms, data, and technology in general. i feel like that section of the book meant to evoke emotional responses more than inform, and quite a lot of the content can mislead people about the true nature of technologies. <br/><br/>for instance, Yuval dedicates an entire chapter to talk about how people will just give control to algorithms because they’re always more accurate. this ignores the fact that there are biases embedded in the algorithms in the first place that make them potentially wrong. because algorithms are created BY HUMANS. overall, the book seems to paint a future where humans have little ownership and ignore the myriad of ethical and practical discussions currently going on about ML and AI.<br/><br/>also, if technology is going to depower us that much, i expected Yuval to spend more time delineating who is guiding technology, how can we exert influence and take control of our own future too, what skills we can learn to empower ourselves, etc.<br/><br/>overall, this may be one of the times when storytelling triumphes over substance.",,,1,0
50144,Kitchen,Banana Yoshimoto,"Yoshimoto, Banana",Megan Backus,0802142443,9780802142443,4,3.89,Grove Press,Paperback,160,2006,1988,7/20/2021,5/15/2021,,,read,,,,1,0
38242135,"AI Superpowers: China, Silicon Valley, and the New World Order",Kai-Fu Lee,"Lee, Kai-Fu",,132854639X,9781328546395,3,4.12,Mariner Books,Hardcover,255,2018,2018,,2/6/2021,,,read,,,,1,0
18176747,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Ben Horowitz,"Horowitz, Ben",,0062273205,9780062273208,0,4.23,Harper Business,Hardcover,304,2014,2014,,8/15/2021,to-read,to-read (#74),to-read,,,,0,0
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Harold S. Kushner, William J. Winslade, Isle Lasch",080701429X,9780807014295,0,4.37,Beacon Press,Paperback,165,2006,1946,,8/15/2021,to-read,to-read (#73),to-read,,,,0,0
632650,Advice on Dying: And Living a Better Life,Dalai Lama XIV,"XIV, Dalai Lama",Jeffrey Hopkins,0743463021,9780743463027,0,3.79,Atria,Hardcover,240,2002,2002,,8/15/2021,to-read,to-read (#72),to-read,,,,0,0
46158689,Francis Bacon: Books and Painting,Didier Ottinger,"Ottinger, Didier","Chris Stephens, Miguel Egaña, Michael Peppiatt, Catherine Howe, Serge Lasvignes, Bernard Blistene, Ruth Sharman",0500239983,9780500239988,0,4.72,Thames & Hudson,Hardcover,242,2019,1996,,8/15/2021,to-read,to-read (#71),to-read,,,,0,0
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,0804139296,9780804139298,3,4.18,Crown Business,Hardcover,195,2014,2014,,8/11/2021,,,read,,,,1,0
48570454,Transcendent Kingdom,Yaa Gyasi,"Gyasi, Yaa",,,,0,4.13,Knopf,Hardcover,264,2020,2020,,8/4/2021,to-read,to-read (#70),to-read,,,,0,0
30736,The Complete Essays of Montaigne,Michel de Montaigne,"Montaigne, Michel de",Donald Frame,0804704864,9780804704861,0,4.24,Stanford University Press,Paperback,908,1958,1580,,7/21/2021,to-read,to-read (#69),to-read,,,,0,0
25814544,Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days,Jake Knapp,"Knapp, Jake","John Zeratsky, Brad Kowitz",,9781501121746,3,4.2,Simon  Schuster,Hardcover,274,2016,2016,,5/29/2021,,,read,,,,1,0
34427200,"The Four: The Hidden DNA of Amazon, Apple, Facebook, and Google",Scott Galloway,"Galloway, Scott",,0735213658,9780735213654,4,3.85,Portfolio,Hardcover,320,2017,2017,,7/13/2021,,,read,,,,1,0
